"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"32,410",223.679,0.077430
2,Nature Reviews Materials,"7,901",74.449,0.033870
3,NEW ENGLAND JOURNAL OF MEDICINE,"344,581",70.670,0.687120
4,LANCET,"247,292",59.102,0.428000
5,NATURE REVIEWS DRUG DISCOVERY,"32,266",57.618,0.054880
6,CHEMICAL REVIEWS,"188,635",54.301,0.267140
7,Nature Energy,"11,113",54.000,0.040630
8,NATURE REVIEWS CANCER,"50,529",51.848,0.074060
9,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"156,350",51.273,0.300870
10,NATURE REVIEWS IMMUNOLOGY,"41,499",44.019,0.080190
11,NATURE REVIEWS GENETICS,"36,697",43.704,0.079240
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"45,869",43.351,0.091410
13,NATURE,"745,692",43.070,1.284860
14,SCIENCE,"680,994",41.063,1.069980
15,CHEMICAL SOCIETY REVIEWS,"139,751",40.443,0.247070
16,NATURE MATERIALS,"97,792",38.887,0.177350
17,REVIEWS OF MODERN PHYSICS,"50,151",38.296,0.051770
18,CELL,"242,829",36.216,0.571870
19,LANCET ONCOLOGY,"48,822",35.386,0.147020
20,NATURE REVIEWS MICROBIOLOGY,"29,637",34.648,0.054580
21,Nature Reviews Clinical Oncology,"9,626",34.106,0.031910
22,World Psychiatry,"5,426",34.024,0.014090
22,World Psychiatry,"5,426",34.024,0.014090
24,Nature Nanotechnology,"63,245",33.407,0.154930
25,Energy & Environmental Science,"81,176",33.250,0.160140
26,NATURE REVIEWS NEUROSCIENCE,"43,107",33.162,0.068470
27,Annual Review of Astronomy and Astrophysics,"11,821",33.069,0.019290
28,Nature Reviews Disease Primers,"4,339",32.274,0.019730
29,NATURE BIOTECHNOLOGY,"60,971",31.864,0.158130
30,Nature Photonics,"43,932",31.583,0.116040
31,NATURE MEDICINE,"79,243",30.641,0.162940
32,Nature Reviews Chemistry,"1,531",30.628,0.006720
33,LANCET NEUROLOGY,"30,748",28.755,0.069420
34,NATURE METHODS,"64,324",28.467,0.205050
35,JOURNAL OF CLINICAL ONCOLOGY,"154,462",28.349,0.284300
36,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"28,380",28.295,0.030540
37,Living Reviews in Relativity,"2,819",27.778,0.005210
38,BMJ-British Medical Journal,"112,901",27.604,0.152730
39,LANCET INFECTIOUS DISEASES,"23,088",27.516,0.073320
40,Annual Review of Biochemistry,"20,344",26.922,0.025440
41,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"11,322",26.467,0.008380
42,Cancer Discovery,"13,715",26.370,0.064800
43,ADVANCES IN PHYSICS,"5,903",26.100,0.004480
44,ADVANCED MATERIALS,"229,186",25.809,0.409360
45,NATURE GENETICS,"93,920",25.455,0.221340
46,EUROPEAN HEART JOURNAL,"58,233",24.889,0.129390
47,Advanced Energy Materials,"50,724",24.884,0.120600
48,Nature Reviews Endocrinology,"8,908",24.646,0.026300
49,Lancet Diabetes & Endocrinology,"7,961",24.540,0.038670
50,PROGRESS IN POLYMER SCIENCE,"26,152",24.505,0.022440
51,Materials Today,"12,566",24.372,0.018830
52,PHYSIOLOGICAL REVIEWS,"28,672",24.250,0.026850
53,CANCER CELL,"36,056",23.916,0.091030
54,PROGRESS IN MATERIALS SCIENCE,"14,580",23.725,0.016820
55,Nature Reviews Gastroenterology & Hepatology,"8,506",23.570,0.025380
56,NATURE IMMUNOLOGY,"44,298",23.530,0.094210
57,Nature Chemistry,"32,858",23.193,0.091910
58,CIRCULATION,"166,484",23.054,0.211150
59,Lancet Respiratory Medicine,"7,600",22.992,0.038840
60,IEEE Communications Surveys and Tutorials,"16,408",22.973,0.039660
61,JAMA Oncology,"9,488",22.416,0.048600
62,Cell Metabolism,"34,829",22.415,0.099550
63,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,206",22.250,0.006250
63,Psychological Science in the Public Interest,"1,437",22.250,0.003050
65,Nature Climate Change,"23,544",21.722,0.098100
65,Nature Climate Change,"23,544",21.722,0.098100
67,ACCOUNTS OF CHEMICAL RESEARCH,"69,687",21.661,0.131770
68,IMMUNITY,"51,051",21.522,0.126050
69,Cell Stem Cell,"24,628",21.464,0.087340
70,Annual Review of Immunology,"17,013",21.429,0.022200
71,Nature Reviews Neurology,"9,548",21.155,0.031050
72,NATURE NEUROSCIENCE,"63,390",21.126,0.164630
73,INTERNATIONAL MATERIALS REVIEWS,"5,262",21.086,0.004960
74,JAMA Internal Medicine,"15,215",20.768,0.095550
75,Nature Physics,"36,156",20.113,0.115280
76,GASTROENTEROLOGY,"74,469",19.809,0.104850
77,Annual Review of Psychology,"20,230",19.755,0.022780
77,Annual Review of Psychology,"20,230",19.755,0.022780
79,Nature Reviews Nephrology,"5,767",19.684,0.017070
80,Science Robotics,898,19.400,0.002430
81,ANNALS OF INTERNAL MEDICINE,"57,057",19.315,0.095990
82,INTENSIVE CARE MEDICINE,"22,631",18.967,0.040100
83,JOURNAL OF HEPATOLOGY,"40,643",18.946,0.084360
84,Annual Review of Plant Biology,"19,024",18.918,0.016890
85,PHARMACOLOGICAL REVIEWS,"12,653",18.886,0.011950
86,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"100,986",18.639,0.193110
87,Nature Reviews Rheumatology,"7,761",18.545,0.021640
88,Lancet Psychiatry,"4,887",18.329,0.022090
88,Lancet Psychiatry,"4,887",18.329,0.022090
90,Chem,"3,493",18.205,0.011310
